"st" "flag_fthb" "prop_type" "count" "fico_avg" "avg_ltv" "avg_dti" "year" "quart"
"1" "AK" "" "CO" 3 717.666666666667 75.3333333333333 24 "2000" "1"
"2" "AK" "" "PU" 1 762 80 46 "2000" "1"
"3" "AK" "" "SF" 20 682.15 73.75 37 "2000" "1"
"4" "AK" "N" "CO" 4 769.25 80 34.75 "2000" "1"
"5" "AK" "N" "LH" 1 723 95 40 "2000" "1"
"6" "AK" "N" "PU" 5 705.8 84.2 43.4 "2000" "1"
"7" "AK" "N" "SF" 94 705.457446808511 80.6170212765958 36.8936170212766 "2000" "1"
"8" "AK" "Y" "CO" 3 718.333333333333 81.6666666666667 26 "2000" "1"
"9" "AK" "Y" "PU" 2 700 90 27.5 "2000" "1"
"10" "AK" "Y" "SF" 16 662.9375 87.9375 34.0625 "2000" "1"
"11" "AL" "" "CO" 6 753 63.6666666666667 32.5 "2000" "1"
"12" "AL" "" "PU" 6 663.166666666667 59.6666666666667 35.5 "2000" "1"
"13" "AL" "" "SF" 218 702.06880733945 74.8073394495413 34.2614678899083 "2000" "1"
"14" "AL" "N" "CO" 45 733.2 78.2888888888889 32.6888888888889 "2000" "1"
"15" "AL" "N" "LH" 1 654 80 41 "2000" "1"
"16" "AL" "N" "MH" 2 664.5 90 37 "2000" "1"
"17" "AL" "N" "PU" 63 718.031746031746 77.6190476190476 33.9523809523809 "2000" "1"
"18" "AL" "N" "SF" 1076 707.818773234201 80.4256505576208 34.7416356877323 "2000" "1"
"19" "AL" "Y" "CO" 8 739.25 78.25 30.75 "2000" "1"
"20" "AL" "Y" "PU" 11 709 81.4545454545455 31.8181818181818 "2000" "1"
"21" "AL" "Y" "SF" 211 703.028436018957 87.2085308056872 32.5781990521327 "2000" "1"
"22" "AR" "" "CO" 1 767 90 14 "2000" "1"
"23" "AR" "" "PU" 13 731.615384615385 71.6923076923077 31.5384615384615 "2000" "1"
"24" "AR" "" "SF" 118 706.067796610169 75.1525423728814 33.8050847457627 "2000" "1"
"25" "AR" "N" "CO" 6 732.833333333333 86.6666666666667 34.8333333333333 "2000" "1"
"26" "AR" "N" "PU" 26 730.346153846154 76.6153846153846 34.6923076923077 "2000" "1"
"27" "AR" "N" "SF" 351 711.603988603989 79.8176638176638 33.025641025641 "2000" "1"
"28" "AR" "Y" "CO" 1 755 72 17 "2000" "1"
"29" "AR" "Y" "PU" 3 729.666666666667 95 38.6666666666667 "2000" "1"
"30" "AR" "Y" "SF" 82 704.439024390244 87.6707317073171 30.8780487804878 "2000" "1"
"31" "AZ" "" "CO" 44 720.818181818182 76.5909090909091 28.4545454545455 "2000" "1"
"32" "AZ" "" "MH" 14 651.285714285714 82.2142857142857 35.6428571428571 "2000" "1"
"33" "AZ" "" "PU" 162 712.561728395062 73.4012345679012 30.9814814814815 "2000" "1"
"34" "AZ" "" "SF" 462 701.101731601732 72.8311688311688 33.030303030303 "2000" "1"
"35" "AZ" "N" "CO" 160 726.46875 79.325 35.125 "2000" "1"
"36" "AZ" "N" "MH" 55 713.963636363636 79.7272727272727 33.9636363636364 "2000" "1"
"37" "AZ" "N" "PU" 1170 718.805982905983 77.1905982905983 35.7837606837607 "2000" "1"
"38" "AZ" "N" "SF" 2049 711.935578330893 79.9917032698878 34.6188384577843 "2000" "1"
"39" "AZ" "Y" "CO" 68 709.264705882353 88.2794117647059 34.4411764705882 "2000" "1"
"40" "AZ" "Y" "MH" 16 687.625 91.6875 36.1875 "2000" "1"
"41" "AZ" "Y" "PU" 279 698.154121863799 84.6487455197133 35.8996415770609 "2000" "1"
"42" "AZ" "Y" "SF" 283 689.78445229682 88.3144876325088 35.0671378091873 "2000" "1"
"43" "CA" "" "CO" 227 716.656387665198 69.374449339207 33 "2000" "1"
"44" "CA" "" "LH" 2 759 60 42 "2000" "1"
"45" "CA" "" "MH" 5 640.6 78 29.2 "2000" "1"
"46" "CA" "" "PU" 165 715.206060606061 68.7575757575758 33.8 "2000" "1"
"47" "CA" "" "SF" 1441 699.900763358779 67.4587092297016 34.4219292158223 "2000" "1"
"48" "CA" "N" "CO" 910 722.118681318681 76.7571428571429 38.1274725274725 "2000" "1"
"49" "CA" "N" "MH" 17 702.764705882353 73.4117647058823 39.7647058823529 "2000" "1"
"50" "CA" "N" "PU" 957 722.919540229885 70.2810867293626 36.4984326018809 "2000" "1"
"51" "CA" "N" "SF" 7131 714.085962698079 74.4716028607488 35.9897630065909 "2000" "1"
"52" "CA" "Y" "CO" 425 710.868235294118 82.6611764705882 37.6588235294118 "2000" "1"
"53" "CA" "Y" "MH" 4 708.75 86.25 34 "2000" "1"
"54" "CA" "Y" "PU" 309 709.750809061489 79.8446601941748 37.1456310679612 "2000" "1"
"55" "CA" "Y" "SF" 1668 702.399880095923 83.6534772182254 37.097721822542 "2000" "1"
"56" "CO" "" "CO" 82 700.536585365854 76.719512195122 27.3170731707317 "2000" "1"
"57" "CO" "" "MH" 10 666.6 75.9 41.2 "2000" "1"
